LENS — Per Pupil Expenditure by Parish (Louisiana Treasurer / LDOE),,,,,,,,,,,
"Source: Louisiana Treasurer's Office · All figures in USD · State average = $15,387",,,,,,,,,,,
,,,,,,,,,,,
Parish,Spend Per Pupil,vs State Avg ($),vs State Avg (%),Rank (highest spend),Signal,,,,,,
LOUISIANA STATEWIDE,"$15,387 ",$0 ,0.00%,—,State Average,,,,,,
Acadia Parish,"$13,116 ","($2,271)",-14.80%,59,↓ Below avg,,,LENS — State Per Pupil Spending Breakdown (How Louisiana Spends Each Dollar),,,
Allen Parish,"$15,082 ",($305),-2.00%,40,≈ Near avg,,,Source: Louisiana Treasurer's Office · Per pupil figures · State level only,,,
Ascension Parish,"$14,506 ",($881),-5.70%,44,≈ Near avg,,,,,,
Assumption Parish,"$15,335 ",($52),-0.30%,36,≈ Near avg,,,Spending Category,Per Pupil Amount,% of Total Spend,What it funds
Avoyelles Parish,"$14,291 ","($1,096)",-7.10%,46,≈ Near avg,,,Instruction,"$8,441 ",54.90%,"Teachers, classroom materials, curriculum delivery"
Beauregard Parish,"$13,061 ","($2,326)",-15.10%,60,↓ Below avg,,,Other Support,"$3,235 ",21.00%,District-level support services
Bienville Parish,"$21,373 ","$5,986 ",38.90%,8,⚠ High spend,,,Student & Instructional Support,"$1,868 ",12.10%,"Counselors, librarians, instructional coaches"
Bossier Parish,"$14,226 ","($1,161)",-7.50%,49,≈ Near avg,,,School Administration,$990 ,6.40%,"Principals, school office operations"
Caddo Parish,"$15,149 ",($238),-1.50%,39,≈ Near avg,,,Transportation,$853 ,5.50%,"School buses, routes, drivers"
Calcasieu Parish,"$16,007 ",$620 ,4.00%,29,≈ Near avg,,,TOTAL,"$15,387 ",100.00%,All categories combined
Caldwell Parish,"$16,899 ","$1,512 ",9.80%,21,≈ Near avg,,,,,,
Cameron Parish,"$29,249 ","$13,862 ",90.10%,2,⚠ High spend,,,Funding Sources (Where the money comes from),,,
Catahoula Parish,"$17,997 ","$2,610 ",17.00%,16,≈ Near avg,,,Source,Per Pupil Amount,% of Total,Notes
Claiborne Parish,"$17,705 ","$2,318 ",15.10%,17,≈ Near avg,,,State Sources,"$13,190 ",85.70%,MFP formula + statutory dedications
Concordia Parish,"$16,686 ","$1,299 ",8.40%,23,≈ Near avg,,,Federal Sources,"$2,199 ",14.30%,"Title I, IDEA, ESEA grants"
DeSoto Parish,"$18,678 ","$3,291 ",21.40%,14,≈ Near avg,,,TOTAL,"$15,389 ",100.00%,"≈ $15,389 per pupil statewide"
East Baton Rouge Parish,"$16,539 ","$1,152 ",7.50%,26,≈ Near avg,,,,,,
East Carroll Parish,"$20,185 ","$4,798 ",31.20%,9,⚠ High spend,,,,,,
East Feliciana Parish,"$17,234 ","$1,847 ",12.00%,20,≈ Near avg,,,,,,
Evangeline Parish,"$15,775 ",$388 ,2.50%,31,≈ Near avg,,,,,,
Franklin Parish,"$16,140 ",$753 ,4.90%,28,≈ Near avg,,,,,,
Grant Parish,"$13,351 ","($2,036)",-13.20%,56,↓ Below avg,,,,,,
Iberia Parish,"$13,239 ","($2,148)",-14.00%,58,↓ Below avg,,,,,,
Iberville Parish,"$23,241 ","$7,854 ",51.00%,5,⚠ High spend,,,,,,
Jackson Parish,"$16,331 ",$944 ,6.10%,27,≈ Near avg,,,,,,
Jefferson Parish,"$15,262 ",($125),-0.80%,38,≈ Near avg,,,,,,
Jefferson Davis Parish,"$14,662 ",($725),-4.70%,41,≈ Near avg,,,,,,
Lafayette Parish,"$12,964 ","($2,423)",-15.70%,62,↓ Below avg,,,,,,
Lafourche Parish,"$12,399 ","($2,988)",-19.40%,64,↓ Below avg,,,,,,
LaSalle Parish,"$14,279 ","($1,108)",-7.20%,47,≈ Near avg,,,,,,
Lincoln Parish,"$15,553 ",$166 ,1.10%,32,≈ Near avg,,,,,,
Livingston Parish,"$12,544 ","($2,843)",-18.50%,63,↓ Below avg,,,,,,
Madison Parish,"$19,726 ","$4,339 ",28.20%,12,≈ Near avg,,,,,,
Morehouse Parish,"$17,449 ","$2,062 ",13.40%,19,≈ Near avg,,,,,,
Natchitoches Parish,"$16,838 ","$1,451 ",9.40%,22,≈ Near avg,,,,,,
Orleans Parish,"$38,300 ","$22,913 ",148.90%,1,⚠ High spend,,,,,,
Ouachita Parish,"$13,815 ","($1,572)",-10.20%,53,≈ Near avg,,,,,,
Plaquemines Parish,"$20,166 ","$4,779 ",31.10%,10,⚠ High spend,,,,,,
Pointe Coupee Parish,"$17,701 ","$2,314 ",15.00%,18,≈ Near avg,,,,,,
Rapides Parish,"$14,408 ",($979),-6.40%,45,≈ Near avg,,,,,,
Red River Parish,"$25,330 ","$9,943 ",64.60%,3,⚠ High spend,,,,,,
Richland Parish,"$14,658 ",($729),-4.70%,43,≈ Near avg,,,,,,
Sabine Parish,"$16,582 ","$1,195 ",7.80%,25,≈ Near avg,,,,,,
St. Bernard Parish,"$14,267 ","($1,120)",-7.30%,48,≈ Near avg,,,,,,
St. Charles Parish,"$21,751 ","$6,364 ",41.40%,6,⚠ High spend,,,,,,
St. Helena Parish,"$13,766 ","($1,621)",-10.50%,54,≈ Near avg,,,,,,
St. James Parish,"$19,832 ","$4,445 ",28.90%,11,≈ Near avg,,,,,,
St. John the Baptist Parish,"$21,562 ","$6,175 ",40.10%,7,⚠ High spend,,,,,,
St. Landry Parish,"$15,301 ",($86),-0.60%,37,≈ Near avg,,,,,,
St. Martin Parish,"$14,217 ","($1,170)",-7.60%,51,≈ Near avg,,,,,,
St. Mary Parish,"$14,661 ",($726),-4.70%,42,≈ Near avg,,,,,,
St. Tammany Parish,"$15,911 ",$524 ,3.40%,30,≈ Near avg,,,,,,
Tangipahoa Parish,"$13,589 ","($1,798)",-11.70%,55,≈ Near avg,,,,,,
Tensas Parish,"$23,694 ","$8,307 ",54.00%,4,⚠ High spend,,,,,,
Terrebonne Parish,"$13,300 ","($2,087)",-13.60%,57,↓ Below avg,,,,,,
Union Parish,"$16,681 ","$1,294 ",8.40%,24,≈ Near avg,,,,,,
Vermilion Parish,"$12,979 ","($2,408)",-15.60%,61,↓ Below avg,,,,,,
Vernon Parish,"$14,167 ","($1,220)",-7.90%,52,≈ Near avg,,,,,,
Washington Parish,"$14,220 ","($1,167)",-7.60%,50,≈ Near avg,,,,,,
Webster Parish,"$15,338 ",($49),-0.30%,35,≈ Near avg,,,,,,
West Baton Rouge Parish,"$18,486 ","$3,099 ",20.10%,15,≈ Near avg,,,,,,
West Carroll Parish,"$15,411 ",$24 ,0.20%,33,≈ Near avg,,,,,,
West Feliciana Parish,"$19,093 ","$3,706 ",24.10%,13,≈ Near avg,,,,,,
Winn Parish,"$15,349 ",($38),-0.20%,34,≈ Near avg,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,LENS — Combined Funding Data (paste this directly into Cursor or parse_funding.py),,,,,,,,,,
,parish_slug matches lens.json name_slug exactly — use this to merge into lens.json signals,,,,,,,,,,
,parish_name,parish_slug,spend_per_pupil,vs_state_avg_dollars,vs_state_avg_pct,,,,,,
,Louisiana Statewide,louisiana,"$15,387 ",$0 ,0.00%,,,,,,
,Acadia Parish,acadia,"$13,116 ","($2,271)",-14.80%,,,,,,
,Allen Parish,allen,"$15,082 ",($305),-2.00%,,,,,,
,Ascension Parish,ascension,"$14,506 ",($881),-5.70%,,,,,,
,Assumption Parish,assumption,"$15,335 ",($52),-0.30%,,,,,,
,Avoyelles Parish,avoyelles,"$14,291 ","($1,096)",-7.10%,,,,,,
,Beauregard Parish,beauregard,"$13,061 ","($2,326)",-15.10%,,,,,,
,Bienville Parish,bienville,"$21,373 ","$5,986 ",38.90%,,,,,,
,Bossier Parish,bossier,"$14,226 ","($1,161)",-7.50%,,,,,,
,Caddo Parish,caddo,"$15,149 ",($238),-1.50%,,,,,,
,Calcasieu Parish,calcasieu,"$16,007 ",$620 ,4.00%,,,,,,
,Caldwell Parish,caldwell,"$16,899 ","$1,512 ",9.80%,,,,,,
,Cameron Parish,cameron,"$29,249 ","$13,862 ",90.10%,,,,,,
,Catahoula Parish,catahoula,"$17,997 ","$2,610 ",17.00%,,,,,,
,Claiborne Parish,claiborne,"$17,705 ","$2,318 ",15.10%,,,,,,
,Concordia Parish,concordia,"$16,686 ","$1,299 ",8.40%,,,,,,
,DeSoto Parish,desoto,"$18,678 ","$3,291 ",21.40%,,,,,,
,East Baton Rouge Parish,east-baton-rouge,"$16,539 ","$1,152 ",7.50%,,,,,,
,East Carroll Parish,east-carroll,"$20,185 ","$4,798 ",31.20%,,,,,,
,East Feliciana Parish,east-feliciana,"$17,234 ","$1,847 ",12.00%,,,,,,
,Evangeline Parish,evangeline,"$15,775 ",$388 ,2.50%,,,,,,
,Franklin Parish,franklin,"$16,140 ",$753 ,4.90%,,,,,,
,Grant Parish,grant,"$13,351 ","($2,036)",-13.20%,,,,,,
,Iberia Parish,iberia,"$13,239 ","($2,148)",-14.00%,,,,,,
,Iberville Parish,iberville,"$23,241 ","$7,854 ",51.00%,,,,,,
,Jackson Parish,jackson,"$16,331 ",$944 ,6.10%,,,,,,
,Jefferson Parish,jefferson,"$15,262 ",($125),-0.80%,,,,,,
,Jefferson Davis Parish,jefferson-davis,"$14,662 ",($725),-4.70%,,,,,,
,Lafayette Parish,lafayette,"$12,964 ","($2,423)",-15.70%,,,,,,
,Lafourche Parish,lafourche,"$12,399 ","($2,988)",-19.40%,,,,,,
,LaSalle Parish,lasalle,"$14,279 ","($1,108)",-7.20%,,,,,,
,Lincoln Parish,lincoln,"$15,553 ",$166 ,1.10%,,,,,,
,Livingston Parish,livingston,"$12,544 ","($2,843)",-18.50%,,,,,,
,Madison Parish,madison,"$19,726 ","$4,339 ",28.20%,,,,,,
,Morehouse Parish,morehouse,"$17,449 ","$2,062 ",13.40%,,,,,,
,Natchitoches Parish,natchitoches,"$16,838 ","$1,451 ",9.40%,,,,,,
,Orleans Parish,orleans,"$38,300 ","$22,913 ",148.90%,,,,,,
,Ouachita Parish,ouachita,"$13,815 ","($1,572)",-10.20%,,,,,,
,Plaquemines Parish,plaquemines,"$20,166 ","$4,779 ",31.10%,,,,,,
,Pointe Coupee Parish,pointe-coupee,"$17,701 ","$2,314 ",15.00%,,,,,,
,Rapides Parish,rapides,"$14,408 ",($979),-6.40%,,,,,,
,Red River Parish,red-river,"$25,330 ","$9,943 ",64.60%,,,,,,
,Richland Parish,richland,"$14,658 ",($729),-4.70%,,,,,,
,Sabine Parish,sabine,"$16,582 ","$1,195 ",7.80%,,,,,,
,St. Bernard Parish,st-bernard,"$14,267 ","($1,120)",-7.30%,,,,,,
,St. Charles Parish,st-charles,"$21,751 ","$6,364 ",41.40%,,,,,,
,St. Helena Parish,st-helena,"$13,766 ","($1,621)",-10.50%,,,,,,
,St. James Parish,st-james,"$19,832 ","$4,445 ",28.90%,,,,,,
,St. John the Baptist Parish,st-john-the-baptist,"$21,562 ","$6,175 ",40.10%,,,,,,
,St. Landry Parish,st-landry,"$15,301 ",($86),-0.60%,,,,,,
,St. Martin Parish,st-martin,"$14,217 ","($1,170)",-7.60%,,,,,,
,St. Mary Parish,st-mary,"$14,661 ",($726),-4.70%,,,,,,
,St. Tammany Parish,st-tammany,"$15,911 ",$524 ,3.40%,,,,,,
,Tangipahoa Parish,tangipahoa,"$13,589 ","($1,798)",-11.70%,,,,,,
,Tensas Parish,tensas,"$23,694 ","$8,307 ",54.00%,,,,,,
,Terrebonne Parish,terrebonne,"$13,300 ","($2,087)",-13.60%,,,,,,
,Union Parish,union,"$16,681 ","$1,294 ",8.40%,,,,,,
,Vermilion Parish,vermilion,"$12,979 ","($2,408)",-15.60%,,,,,,
,Vernon Parish,vernon,"$14,167 ","($1,220)",-7.90%,,,,,,
,Washington Parish,washington,"$14,220 ","($1,167)",-7.60%,,,,,,
,Webster Parish,webster,"$15,338 ",($49),-0.30%,,,,,,
,West Baton Rouge Parish,west-baton-rouge,"$18,486 ","$3,099 ",20.10%,,,,,,
,West Carroll Parish,west-carroll,"$15,411 ",$24 ,0.20%,,,,,,
,West Feliciana Parish,west-feliciana,"$19,093 ","$3,706 ",24.10%,,,,,,
,Winn Parish,winn,"$15,349 ",($38),-0.20%,,,,,,
,,,,,,,,,,,
,"Instruction $8,441 | Support $1,868 | Admin $990 | Transport $853 | Other $3,235 | Total $15,387 | State sources $13,190 | Federal sources $2,199",,,,,,,,,,
